"","Player","Pos","G","WAR","AB","H","X2B","X3B","HR","BB","SO","BA","OBP","SLG","HBP","Tm"
"1","Yainer Diaz","C",148,3.2,585,175,29,3,16,24,107,0.299,0.325,0.441,2,"Houston Astros"
"2","Jon Singleton*","1B",119,0.3,355,83,13,1,13,47,111,0.234,0.321,0.386,0,"Houston Astros"
"3","Jose Altuve","2B",153,3.4,628,185,31,0,20,47,119,0.295,0.35,0.439,7,"Houston Astros"
"4","Jeremy Peña","SS",157,4.1,602,160,28,2,15,25,111,0.266,0.308,0.394,14,"Houston Astros"
"5","Alex Bregman","3B",145,4.1,581,151,30,2,26,44,86,0.26,0.315,0.453,5,"Houston Astros"
"6","Mauricio Dubón","LF",137,1.1,402,108,25,0,4,16,55,0.269,0.296,0.361,2,"Houston Astros"
"7","Jake Meyers","CF",148,1.7,461,101,20,3,13,35,117,0.219,0.286,0.36,10,"Houston Astros"
"8","Kyle Tucker*","RF",78,4.7,277,80,13,0,23,56,54,0.289,0.408,0.585,1,"Houston Astros"
"9","Yordan Alvarez*","DH",147,5.4,552,170,34,2,35,69,95,0.308,0.392,0.567,10,"Houston Astros"
"10","Victor Caratini#","C",87,1.3,245,66,8,1,8,23,53,0.269,0.336,0.408,3,"Houston Astros"
"11","Chas McCormick","OF",94,-0.6,242,51,6,1,5,17,72,0.211,0.271,0.306,4,"Houston Astros"
"12","José Abreu","1B",35,-1.7,113,14,2,0,2,4,28,0.124,0.167,0.195,2,"Houston Astros"
"13","Joey Loperfido*","OF",38,0.3,106,25,5,1,2,7,43,0.236,0.299,0.358,3,"Houston Astros"
"14","Trey Cabbage*","RF",45,-0.1,86,18,8,0,1,4,34,0.209,0.253,0.337,1,"Houston Astros"
"15","Ben Gamel*","OF",20,0.2,58,15,3,0,1,11,17,0.259,0.377,0.362,0,"Houston Astros"
"16","Zach Dezenzo","1B",19,-0.2,62,15,2,0,2,3,22,0.242,0.277,0.371,0,"Houston Astros"
"17","Jason Heyward*","OF",24,0.3,55,12,2,0,4,5,17,0.218,0.283,0.473,0,"Houston Astros"
"18","César Salazar*","C",12,0.2,25,8,2,0,0,2,6,0.32,0.387,0.4,2,"Houston Astros"
"19","Pedro León","RF",7,-0.3,20,2,0,0,0,1,10,0.1,0.143,0.1,0,"Houston Astros"
"20","Cooper Hummel#","LF",6,-0.1,8,0,0,0,0,0,2,0,0,0,0,"Houston Astros"
"21","Jacob Amaya","2B",1,0,1,0,0,0,0,0,0,0,0,0,0,"Houston Astros"
